genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
dub metal,1.59E-06,0.547,268400,0.702,0.758,0.11,-17.068,0.0403,140.574,0.255,30,0,1
aggrotech,3.28E-06,0.492,285667,0.947,0.756,0.319,-5.97,0.0433,120.036,0.212,45,1,1
progressive deathcore,3.48E-06,0.161,276107,0.976,0.446,0.0915,-8.428,0.0913,173.229,0.241,31,11,0
slamming deathcore,3.48E-06,0.161,276107,0.976,0.446,0.0915,-8.428,0.0913,173.229,0.241,31,11,0
slovenian metal,3.48E-06,0.161,276107,0.976,0.446,0.0915,-8.428,0.0913,173.229,0.241,31,11,0
deathgrind,5.65E-06,0.233166667,224679.8333,0.945833333,0.8765,0.206466667,-11.07233333,0.087516667,110.0573333,0.196216667,38.16666667,1,1
grindcore,7.72E-06,0.2305,202526.5,0.9415,0.8745,0.207275,-12.8635,0.085425,112.307,0.225125,37.5,2,1
post-doom metal,1.00E-05,0.389,259680,0.784,0.809,0.313,-11.165,0.0578,124.9553333,0.290333333,37.33333333,9,1
bristol indie,1.14E-05,0.43,224133,0.661,0.839,0.376,-13.156,0.0276,155.683,0.83,45,11,1
d-beat,1.49E-05,0.237176923,110944.7692,0.943153846,0.150535015,0.154315385,-6.750538462,0.138523077,137.9655385,0.352046154,28.07692308,11,1
swiss black metal,2.20E-05,0.210666667,251451,0.899666667,0.744,0.199616667,-7.797833333,0.060966667,151.6673333,0.2515,35.16666667,4,1
progressive sludge,2.48E-05,0.307125,296671.625,0.8361875,0.60941,0.41740625,-7.3885,0.0692125,119.8675,0.2823125,43.375,9,1
atmospheric post-metal,2.71E-05,0.29,348640,0.717,0.816,0.706,-9.439,0.0556,110.271,0.236,38,9,0
atmospheric sludge,2.71E-05,0.29,348640,0.717,0.816,0.706,-9.439,0.0556,110.271,0.236,38,9,0
portland metal,2.83E-05,0.1855,305793.5,0.911,0.2495,0.227,-4.7425,0.0903,143.274,0.318,50.5,11,1
polish black metal,2.98E-05,0.465,267320,0.978,0.646,0.0268,-4.34,0.084,129.994,0.13,43,1,1
polish death metal,2.98E-05,0.465,267320,0.978,0.646,0.0268,-4.34,0.084,129.994,0.13,43,1,1
dutch death metal,3.95E-05,0.306,279093,0.989,0.00041,0.27,-5.087,0.109,103.006,0.134,37,2,1
boston metal,6.19E-05,0.351253333,248597.6267,0.943733333,0.034632253,0.152096,-4.294933333,0.079604,162.5395867,0.438013333,46.85333333,7,0
italian techno,6.83E-05,0.725,459048,0.655,0.839,0.135,-7.815,0.0338,126.001,0.351,0,1,1
slavic folk metal,8.08E-05,0.262,233520,0.928,4.76E-05,0.195,-2.795,0.0894,161.925,0.533,59,9,1
australian ska,9.58E-05,0.312666667,211724.6667,0.994666667,0.0001827,0.1561,-4.356,0.158666667,148.061,0.2289,44.33333333,9,0
french death metal,9.80E-05,0.311928571,337800,0.936928571,0.142626429,0.173064286,-3.947428571,0.087892857,114.8278571,0.183557143,46.35714286,8,1
french metal,9.80E-05,0.311928571,337800,0.936928571,0.142626429,0.173064286,-3.947428571,0.087892857,114.8278571,0.183557143,46.35714286,8,1
west yorkshire indie,0.000106,0.548,195698,0.94,6.44E-05,0.0696,-2.274,0.0472,121.994,0.783,51,1,0
death 'n' roll,0.000117035,0.20425,248616.5,0.94475,0.528,0.2725,-7.07225,0.0826,139.83625,0.2835,39.25,7,1
brutal death metal,0.0001572,0.270220503,242334.3349,0.952350265,0.562015614,0.205512434,-8.336351984,0.102827196,117.7300929,0.249821587,38.43809524,2,1
danish post-punk,0.000174,0.555,288347,0.976,0.911,0.206,-5.513,0.0413,111.207,0.0397,29,11,1
danish singer-songwriter,0.000174,0.555,288347,0.976,0.911,0.206,-5.513,0.0413,111.207,0.0397,29,11,1
manchester indie,0.000174,0.402,243973,0.92,0,0.0807,-2.944,0.0408,139.793,0.297,44,2,1
heavy alternative,0.0001866,0.396,228055,0.7625,0,0.1074,-4.736,0.04375,156.824,0.4045,50,3,1
epic doom,0.000218267,0.219555556,418610.5556,0.831666667,0.030825222,0.130133333,-4.667444444,0.067433333,113.5176667,0.200133333,34.66666667,4,1
swedish doom metal,0.000218267,0.219555556,418610.5556,0.831666667,0.030825222,0.130133333,-4.667444444,0.067433333,113.5176667,0.200133333,34.66666667,4,1
technical death metal,0.00021857,0.280608333,259226.3,0.951533333,0.461782333,0.208386667,-7.010925,0.109936667,119.72815,0.25245,37.2,5,1
technical groove metal,0.00021958,0.372,342220,0.976166667,0.456331667,0.176833333,-5.487,0.10325,118.5938333,0.2173,47,1,0
scottish metal,0.000234113,0.483875,214425.125,0.951375,2.37E-05,0.24165,-3.92925,0.0608875,105.027,0.630875,44.25,5,1
swiss metal,0.00024252,0.233916667,241329.5,0.920416667,0.5911225,0.260404167,-7.303208333,0.076966667,150.5128333,0.338375,38.79166667,4,1
vancouver metal,0.000246561,0.355875,285840.125,0.949125,0.426885,0.3605,-5.201875,0.109775,144.074125,0.163475,46.625,7,1
nz hardcore,0.000254,0.548,133400,0.935,0,0.422,-2.112,0.0775,141.118,0.593,48,9,1
nz punk,0.000254,0.548,133400,0.935,0,0.422,-2.112,0.0775,141.118,0.593,48,9,1
fast melodic punk,0.0002583,0.419,178044.6667,0.960666667,0.008678467,0.151266667,-4.276,0.072766667,136.5383333,0.577666667,44,10,0
alt-idol,0.000273,0.616,230613,0.985,0.000145,0.111,-1.598,0.0832,109.979,0.487,53,11,1
kawaii metal,0.000273,0.616,230613,0.985,0.000145,0.111,-1.598,0.0832,109.979,0.487,53,11,1
west virginia indie,0.000293,0.595,214533,0.878,0.00266,0.174,-4.341,0.0401,93.94,0.465,59,5,0
florida death metal,0.000355006,0.269558333,246959.9333,0.955566667,0.262140333,0.22145,-6.773341667,0.115663333,129.86385,0.211943333,38.43333333,11,1
finnish death metal,0.000440797,0.430333333,248742.3333,0.965,0.562333333,0.242333333,-3.174,0.056666667,121.852,0.376666667,51.33333333,3,1
avant-garde metal,0.000459935,0.396,278513.5,0.931,0.801,0.4505,-5.4895,0.08695,162.9575,0.12495,47.5,7,1
wyoming indie,0.00046075,0.40575,156513.25,0.958,0.016904,0.263075,-4.381,0.071075,135.24075,0.6815,47,7,1
breakcore,0.000466,0.853,129547,0.989,0.386,0.0919,-5.72,0.0965,133.287,0.791,47,11,0
j-division,0.000585,0.48,263567,0.91,0,0.114,-6.774,0.0721,109.994,0.351,59,8,1
lithuanian pop,0.000616,0.81,188619,0.519,1.51E-05,0.137,-5.193,0.0384,109.958,0.466,51,5,1
polish post-rock,0.000619,0.547,188680,0.886,0.000232,0.193,-4.017,0.0308,145.055,0.294,51,8,1
italian gothic,0.00064225,0.47475,253903.25,0.78,0.1749975,0.15275,-5.361,0.03435,124.291,0.213175,51,4,1
italian gothic metal,0.00064225,0.47475,253903.25,0.78,0.1749975,0.15275,-5.361,0.03435,124.291,0.213175,51,4,1
italian metal,0.00064225,0.47475,253903.25,0.78,0.1749975,0.15275,-5.361,0.03435,124.291,0.213175,51,4,1
folk metal,0.000677173,0.32175,252253.25,0.939375,0.01785215,0.409375,-4.044,0.1181375,157.416375,0.3845,54.375,7,1
pagan black metal,0.000690593,0.329477778,299565.9556,0.865188889,0.734396667,0.209342222,-7.288866667,0.071342222,120.8493222,0.201301111,39.82222222,11,1
deep dnb,0.000708,0.478,353267,0.987,0.11,0.0749,-2.913,0.102,140.04,0.324,45,6,1
neurofunk,0.000708,0.478,353267,0.987,0.11,0.0749,-2.913,0.102,140.04,0.324,45,6,1
swedish black metal,0.000716485,0.2596,274897.8667,0.8494,0.789006667,0.275193333,-8.1816,0.07266,121.5264667,0.232886667,33.8,11,1
newcastle indie,0.000719,0.378,200347,0.953,2.89E-05,0.0936,-3.632,0.138,167.808,0.512,57,9,1
minneapolis punk,0.00072259,0.333166667,178991.1667,0.9325,0.144944105,0.2875,-5.357,0.143566667,154.8673333,0.459833333,41.16666667,11,1
spanish reggae,0.000729,0.609,246814,0.843,0,0.0511,-3.579,0.0841,174.788,0.672,23,10,0
detroit indie,0.00075,0.714,295840,0.803,0.761,0.0812,-7.433,0.0298,87.335,0.523,46,2,1
chill beats,0.000772,0.544,292950,0.833,0.812,0.491,-5.46,0.0275,109.996,0.211,49,10,1
japanese post-hardcore,0.0007875,0.266,222060,0.9875,1.25E-06,0.205,-0.1315,0.182,187.6065,0.435,60.5,6,0
danish alternative rock,0.000795,0.497,200250,0.949,0,0.341,-3.992,0.038,139.996,0.72,58,6,0
nwothm,0.000801291,0.228071429,253019.2857,0.888428571,0.05978238,0.268357143,-6.833928571,0.109133333,148.8219524,0.320509524,38.45238095,11,1
grunge pop,0.000802421,0.552571429,218193.2857,0.887428571,0.004731571,0.206785714,-4.835142857,0.060714286,124.3987143,0.469714286,40.14285714,11,1
